itemId	iconId	itemType	SubType	Name	isExist	ValueId	Value	ItemGrade	AddId1	AddValue1	AddId2	AddValue2	AddId3	AddValue3	|
0	0	0	0	Sword 1	1	1	10	0	0	35	5	10	8	50	|
1	1	0	0	Sword 2	1	1	100	0	1	35	6	10	9	50	|
2	2	0	0	Sword 3	1	1	400	1	2	35	7	10	10	50	|
3	3	0	0	Sword 4	1	1	800	1	3	35	8	10	0	50	|
4	4	0	0	Sword 5	1	1	1500	2	4	35	9	10	1	50	|
5	5	0	0	Sword 6	1	1	2500	2	5	35	10	10	2	50	|
6	6	0	0	Sword 7	1	1	4500	3	6	35	0	10	3	50	|
7	7	0	0	Sword 8	1	1	6000	3	7	35	1	10	4	50	|
8	8	0	0	Sword 9	1	1	8000	4	8	35	2	10	5	50	|
9	9	0	0	Sword 10	1	1	10000	4	9	35	3	10	6	50	|
10	10	0	0	Sword 11	1	1	15000	5	10	35	4	10	7	50	|
11	11	0	0	Sword 12	1	1	17000	5	0	35	5	10	8	50	|
12	12	0	0	Sword 13	1	1	20000	6	1	35	6	10	9	50	|
13	13	0	1	2hand Sword 1	1	1	10	0	2	35	7	10	10	50	|
14	14	0	1	2hand Sword 2	1	1	100	0	3	35	8	10	0	50	|
15	15	0	1	2hand Sword 3	1	1	400	1	4	35	9	10	1	50	|
16	16	0	1	2hand Sword 4	1	1	800	1	5	35	10	10	2	50	|
17	17	0	1	2hand Sword 5	1	1	1500	2	6	35	0	10	3	50	|
18	18	0	1	2hand Sword 6	1	1	2500	2	7	35	1	10	4	50	|
19	19	0	1	2hand Sword 7	1	1	4500	3	8	35	2	10	5	50	|
20	20	0	1	2hand Sword 8	1	1	6000	3	9	35	3	10	6	50	|
21	21	0	1	2hand Sword 9	1	1	8000	4	10	35	4	10	7	50	|
22	22	0	1	2hand Sword 10	1	1	10000	4	0	35	5	10	8	50	|
23	23	0	1	2hand Sword 11	1	1	15000	5	1	35	6	10	9	50	|
24	24	0	1	2hand Sword 12	1	1	17000	5	2	35	7	10	10	50	|
25	25	0	1	2hand Sword 13	1	1	20000	6	3	35	8	10	0	50	|
26	26	1	0	Shield 1	1	0	10	0	4	35	9	10	1	50	|
27	27	1	0	Shield 2	1	0	100	0	5	35	10	10	2	50	|
28	28	1	0	Shield 3	1	0	400	1	6	35	0	10	3	50	|
29	29	1	0	Shield 4	1	0	800	1	7	35	1	10	4	50	|
30	30	1	0	Shield 5	1	0	1500	2	8	35	2	10	5	50	|
31	31	1	0	Shield 6	1	0	2500	2	9	35	3	10	6	50	|
32	32	1	0	Shield 7	1	0	4500	3	10	35	4	10	7	50	|
33	33	1	0	Shield 8	1	0	6000	3	0	35	5	10	8	50	|
34	34	1	0	Shield 9	1	0	8000	4	1	35	6	10	9	50	|
35	35	1	0	Shield 10	1	0	10000	4	2	35	7	10	10	50	|
36	36	1	0	Shield 11	1	0	15000	5	3	35	8	10	0	50	|
37	37	1	0	Shield 12	1	0	17000	5	4	35	9	10	1	50	|
38	38	1	0	Shield 13	1	0	20000	6	5	35	10	10	2	50	|
39	39	2	0	Helmet 1	1	2	10	0	6	35	0	10	3	50	|
40	40	2	0	Helmet 2	1	2	100	0	7	35	1	10	4	50	|
41	41	2	0	Helmet 3	1	2	400	1	8	35	2	10	5	50	|
42	42	2	0	Helmet 4	1	2	800	1	9	35	3	10	6	50	|
43	43	2	0	Helmet 5	1	2	1500	2	10	35	4	10	7	50	|
44	44	2	0	Helmet 6	1	2	2500	2	0	35	5	10	8	50	|
45	45	2	0	Helmet 7	1	2	4500	3	1	35	6	10	9	50	|
46	46	2	0	Helmet 8	1	2	6000	3	2	35	7	10	10	50	|
47	47	2	0	Helmet 9	1	2	8000	4	3	35	8	10	0	50	|
48	48	2	0	Helmet 10	1	2	10000	4	4	35	9	10	1	50	|
49	49	2	0	Helmet 11	1	2	15000	5	5	35	10	10	2	50	|
50	50	2	0	Helmet 12	1	2	17000	5	6	35	0	10	3	50	|
51	51	2	0	Helmet 13	1	2	20000	6	7	35	1	10	4	50	|
52	52	3	0	Upper 1	1	2	10	0	8	35	2	10	5	50	|
53	53	3	0	Upper 2	1	2	100	0	9	35	3	10	6	50	|
54	54	3	0	Upper 3	1	2	400	1	10	35	4	10	7	50	|
55	55	3	0	Upper 4	1	2	800	1	0	35	5	10	8	50	|
56	56	3	0	Upper 5	1	2	1500	2	1	35	6	10	9	50	|
57	57	3	0	Upper 6	1	2	2500	2	2	35	7	10	10	50	|
58	58	3	0	Upper 7	1	2	4500	3	3	35	8	10	0	50	|
59	59	3	0	Upper 8	1	2	6000	3	4	35	9	10	1	50	|
60	60	3	0	Upper 9	1	2	8000	4	5	35	10	10	2	50	|
61	61	3	0	Upper 10	1	2	10000	4	6	35	0	10	3	50	|
62	62	3	0	Upper 11	1	2	15000	5	7	35	1	10	4	50	|
63	63	3	0	Upper 12	1	2	17000	5	8	35	2	10	5	50	|
64	64	3	0	Upper 13	1	2	20000	6	9	35	3	10	6	50	|
65	65	4	0	Lower 1	1	2	10	0	10	35	4	10	7	50	|
66	66	4	0	Lower 2	1	2	100	0	0	35	5	10	8	50	|
67	67	4	0	Lower 3	1	2	400	1	1	35	6	10	9	50	|
68	68	4	0	Lower 4	1	2	800	1	2	35	7	10	10	50	|
69	69	4	0	Lower 5	1	2	1500	2	3	35	8	10	0	50	|
70	70	4	0	Lower 6	1	2	2500	2	4	35	9	10	1	50	|
71	71	4	0	Lower 7	1	2	4500	3	5	35	10	10	2	50	|
72	72	4	0	Lower 8	1	2	6000	3	6	35	0	10	3	50	|
73	73	4	0	Lower 9	1	2	8000	4	7	35	1	10	4	50	|
74	74	4	0	Lower 10	1	2	10000	4	8	35	2	10	5	50	|
75	75	4	0	Lower 11	1	2	15000	5	9	35	3	10	6	50	|
76	76	4	0	Lower 12	1	2	17000	5	10	35	4	10	7	50	|
77	77	4	0	Lower 13	1	2	20000	6	0	35	5	10	8	50	|
78	78	5	0	Gloves 1	1	2	10	0	1	35	6	10	9	50	|
79	79	5	0	Gloves 2	1	2	100	0	2	35	7	10	10	50	|
80	80	5	0	Gloves 3	1	2	400	1	3	35	8	10	0	50	|
81	81	5	0	Gloves 4	1	2	800	1	4	35	9	10	1	50	|
82	82	5	0	Gloves 5	1	2	1500	2	5	35	10	10	2	50	|
83	83	5	0	Gloves 6	1	2	2500	2	6	35	0	10	3	50	|
84	84	5	0	Gloves 7	1	2	4500	3	7	35	1	10	4	50	|
85	85	5	0	Gloves 8	1	2	6000	3	8	35	2	10	5	50	|
86	86	5	0	Gloves 9	1	2	8000	4	9	35	3	10	6	50	|
87	87	5	0	Gloves 10	1	2	10000	4	10	35	4	10	7	50	|
88	88	5	0	Gloves 11	1	2	15000	5	0	35	5	10	8	50	|
89	89	5	0	Gloves 12	1	2	17000	5	1	35	6	10	9	50	|
90	90	5	0	Gloves 13	1	2	20000	6	2	35	7	10	10	50	|
91	91	6	0	Shoes 1	1	2	10	0	3	35	8	10	0	50	|
92	92	6	0	Shoes 2	1	2	100	0	4	35	9	10	1	50	|
93	93	6	0	Shoes 3	1	2	400	1	5	35	10	10	2	50	|
94	94	6	0	Shoes 4	1	2	800	1	6	35	0	10	3	50	|
95	95	6	0	Shoes 5	1	2	1500	2	7	35	1	10	4	50	|
96	96	6	0	Shoes 6	1	2	2500	2	8	35	2	10	5	50	|
97	97	6	0	Shoes 7	1	2	4500	3	9	35	3	10	6	50	|
98	98	6	0	Shoes 8	1	2	6000	3	10	35	4	10	7	50	|
99	99	6	0	Shoes 9	1	2	8000	4	0	35	5	10	8	50	|
100	100	6	0	Shoes 10	1	2	10000	4	1	35	6	10	9	50	|
101	101	6	0	Shoes 11	1	2	15000	5	2	35	7	10	10	50	|
102	102	6	0	Shoes 12	1	2	17000	5	3	35	8	10	0	50	|
103	103	6	0	Shoes 13	1	2	20000	6	4	35	9	10	1	50	|
104	104	7	0	Ring 1	1	4	10	0	5	35	10	10	2	50	|
105	105	7	0	Ring 2	1	4	100	0	6	35	0	10	3	50	|
106	106	7	0	Ring 3	1	4	400	1	7	35	1	10	4	50	|
107	107	7	0	Ring 4	1	4	800	1	8	35	2	10	5	50	|
108	108	7	0	Ring 5	1	4	1500	2	9	35	3	10	6	50	|
109	109	7	0	Ring 6	1	4	2500	2	10	35	4	10	7	50	|
110	110	7	0	Ring 7	1	4	4500	3	0	35	5	10	8	50	|
111	111	7	0	Ring 8	1	4	6000	3	1	35	6	10	9	50	|
112	112	7	0	Ring 9	1	4	8000	4	2	35	7	10	10	50	|
113	113	7	0	Ring 10	1	4	10000	4	3	35	8	10	0	50	|
114	114	7	0	Ring 11	1	4	15000	5	4	35	9	10	1	50	|
115	115	7	0	Ring 12	1	4	17000	5	5	35	10	10	2	50	|
116	116	7	0	Ring 13	1	4	20000	6	6	35	0	10	3	50	|
117	117	8	0	Earning 1	1	3	10	0	7	35	1	10	4	50	|
118	118	8	0	Earning 2	1	3	100	0	8	35	2	10	5	50	|
119	119	8	0	Earning 3	1	3	400	1	9	35	3	10	6	50	|
120	120	8	0	Earning 4	1	3	800	1	10	35	4	10	7	50	|
121	121	8	0	Earning 5	1	3	1500	2	0	35	5	10	8	50	|
122	122	8	0	Earning 6	1	3	2500	2	1	35	6	10	9	50	|
123	123	8	0	Earning 7	1	3	4500	3	2	35	7	10	10	50	|
124	124	8	0	Earning 8	1	3	6000	3	3	35	8	10	0	50	|
125	125	8	0	Earning 9	1	3	8000	4	4	35	9	10	1	50	|
126	126	8	0	Earning 10	1	3	10000	4	5	35	10	10	2	50	|
127	127	8	0	Earning 11	1	3	15000	5	6	35	0	10	3	50	|
128	128	8	0	Earning 12	1	3	17000	5	7	35	1	10	4	50	|
129	129	8	0	Earning 13	1	3	20000	6	8	35	2	10	5	50	|
130	130	9	0	Amulet 1	1	3	10	0	9	35	3	10	6	50	|
131	131	9	0	Amulet 2	1	3	100	0	10	35	4	10	7	50	|
132	132	9	0	Amulet 3	1	3	400	1	0	35	5	10	8	50	|
133	133	9	0	Amulet 4	1	3	800	1	1	35	6	10	9	50	|
134	134	9	0	Amulet 5	1	3	1500	2	2	35	7	10	10	50	|
135	135	9	0	Amulet 6	1	3	2500	2	3	35	8	10	0	50	|
136	136	9	0	Amulet 7	1	3	4500	3	4	35	9	10	1	50	|
137	137	9	0	Amulet 8	1	3	6000	3	5	35	10	10	2	50	|
138	138	9	0	Amulet 9	1	3	8000	4	6	35	0	10	3	50	|
139	139	9	0	Amulet 10	1	3	10000	4	7	35	1	10	4	50	|
140	140	9	0	Amulet 11	1	3	15000	5	8	35	2	10	5	50	|
141	141	9	0	Amulet 12	1	3	17000	5	9	35	3	10	6	50	|
142	142	9	0	Amulet 13	1	3	20000	6	10	35	4	10	7	50	|
143	143	10	0	Belt 1	1	3	10	0	0	35	5	10	8	50	|
144	144	10	0	Belt 2	1	3	100	0	1	35	6	10	9	50	|
145	145	10	0	Belt 3	1	3	400	1	2	35	7	10	10	50	|
146	146	10	0	Belt 4	1	3	800	1	3	35	8	10	0	50	|
147	147	10	0	Belt 5	1	3	1500	2	4	35	9	10	1	50	|
148	148	10	0	Belt 6	1	3	2500	2	5	35	10	10	2	50	|
149	149	10	0	Belt 7	1	3	4500	3	6	35	0	10	3	50	|
150	150	10	0	Belt 8	1	3	6000	3	7	35	1	10	4	50	|
151	151	10	0	Belt 9	1	3	8000	4	8	35	2	10	5	50	|
152	152	10	0	Belt 10	1	3	10000	4	9	35	3	10	6	50	|
153	153	10	0	Belt 11	1	3	15000	5	10	35	4	10	7	50	|
154	154	10	0	Belt 12	1	3	17000	5	0	35	5	10	8	50	|
155	155	10	0	Belt 13	1	3	20000	6	1	35	6	10	9	50	|
156	156	11	0	Cloak 1	1	0	10	0	2	35	7	10	10	50	|
157	157	11	0	Cloak 2	1	0	100	0	3	35	8	10	0	50	|
158	158	11	0	Cloak 3	1	0	400	1	4	35	9	10	1	50	|
159	159	11	0	Cloak 4	1	0	800	1	5	35	10	10	2	50	|
160	160	11	0	Cloak 5	1	0	1500	2	6	35	0	10	3	50	|
161	161	11	0	Cloak 6	1	0	2500	2	7	35	1	10	4	50	|
162	162	11	0	Cloak 7	1	0	4500	3	8	35	2	10	5	50	|
163	163	11	0	Cloak 8	1	0	6000	3	9	35	3	10	6	50	|
164	164	11	0	Cloak 9	1	0	8000	4	10	35	4	10	7	50	|
165	165	11	0	Cloak 10	1	0	10000	4	0	35	5	10	8	50	|
166	166	11	0	Cloak 11	1	0	15000	5	1	35	6	10	9	50	|
167	167	11	0	Cloak 12	1	0	17000	5	2	35	7	10	10	50	|
168	168	11	0	Cloak 13	1	0	20000	6	3	35	8	10	0	50	|
															
															
													3		
